marketing_start_date,group_id,Vores_approval,unii,SMILES
19781201.0,53892.0,1,13AFD7670Q,C1(C(NCNC1=O)=O)(c2ccccc2)CC
19790101.0,21661.0,1,F5WR8N145C,[I-].[Na+]
19790109.0,101262.0,1,U4526F86FJ,[C@@H]1(/C=C/[C@@](O)(CCCCC)C)[C@H]([C@@H](O)C[C@H]1O)C/C=C\CCCC(=O)O.C(N)(CO)(CO)CO
19790202.0,91060.0,1,R6Q3791S76,[C@@H]([C@H]([C@@H]([C@H](O)CO)O)O)(C([O-])=O)O.[Na+]
19790725.0,60669.0,1,M0XW1UBI14,[C@]12(C(=CC(CC1)=O)CC[C@]3([C@@]4(CC[C@@H]([C@]4(CC[C@]23[H])C)OC(=O)CCC5CCCC5)[H])[H])C
19790806.0,22436.0,1,Q40Q9N063P,C(=O)(O)C
19790815.0,87356.0,1,7E1DV054LO,[C@]12([C@]([C@@]3(CCc4c([C@]3(CC1)[H])ccc(O)c4)[H])(CC[C@@H]2OC(=O)CCC5CCCC5)[H])C
19790829.0,60769.0,1,X89XV46R07,P([O-])(=O)([O-])CP([O-])(=O)[O-].[99Tc].O.O
19790904.0,18776.0,1,NBZ3QY004S,[Mg+2].[OH-].[OH-]
19791003.0,59199.0,1,DOQ0J0TPF7,N[C@@](Cc1ccc(cc1)O)(C(=O)O)C
19791218.0,16559.0,1,CYS9AKD70P,C(C(OC(F)F)Cl)(F)(F)F
19800530.0,64263.0,1,506T60A25R,[C@H]([C@@H]([C@H](O)CO)O)([C@@H](O)CO)O
19800530.0,50654.0,1,TE7660XO1C,C(=O)(O)CN
19800725.0,28136.0,1,O26FZP769L,C1(=NC(C(=O)Nc2c1cc(cc2)Cl)O)c3c(Cl)cccc3
19801101.0,127738.0,1,4Y5P7MUD51,C(\c1ccc(cc1)OC)=C/C(=O)OCC(CC)CCCC
19801101.0,127738.0,1,95OOS7VE0Y,c1(C(=O)c2ccccc2)c(cc(cc1)OC)O
19801101.0,127738.0,1,4X49Y0596W,c1(C(OCC(CC)CCCC)=O)c(O)cccc1
19801101.0,127738.0,1,J9QGD60OUZ,C(c1c(N)cccc1)(OC2C(CCC(C2)C)C(C)C)=O
19801106.0,129920.0,1,JAC85A2161,c12c([nH]cn1)ncnc2N
19801106.0,129920.0,1,2968PHW8QP,C(CC(=O)O)(CC(=O)O)(C(=O)O)O.O
19801126.0,95046.0,1,2BMD2GNA4V,[Li+].[O-]C([O-])=O.[Li+]
19801230.0,103641.0,0,451IFR0GXB,Br.[C@]12(O[C@]2([C@@H]3C[C@H](OC([C@H](CO)c4ccccc4)=O)C[C@H]1N3C)[H])[H].O.O.O
